InvoiceDate,AvgNetFare,TotalNetFare
2018-11-26,15564.380952380952,326852.0
2018-11-27,14851.1,148511.0
2018-11-28,15445.222222222223,139007.0
2018-11-29,13989.285714285714,97925.0
2018-11-30,15575.833333333334,186910.0
2018-12-01,16009.333333333334,48028.0
2018-12-02,15337.6,76688.0
2018-12-03,11635.3,232706.0
2018-12-04,16089.272727272728,176982.0
2018-12-05,15157.0,90942.0
2018-12-06,15036.158571428572,105253.11
2018-12-07,7079.333333333333,63714.0
2018-12-08,13851.0,96957.0
2018-12-09,18095.0,54285.0
2018-12-10,11344.6,170169.0
2018-12-11,15800.5,126404.0
2018-12-12,12634.1,126341.0
2018-12-13,17574.85714285714,123024.0
2018-12-14,18005.666666666668,216068.0
2018-12-15,17749.88888888889,319498.0
2018-12-16,11030.714285714286,77215.0
2018-12-17,17269.3125,276309.0
2018-12-18,17635.125,141081.0
2018-12-19,15338.5,92031.0
2018-12-20,19386.2,96931.0
2018-12-21,10396.710000000001,207934.2
2018-12-22,9479.923076923076,123239.0
2018-12-23,5829.285714285715,40805.0
2018-12-24,9868.333333333334,59210.0
2018-12-25,20126.0,20126.0
2018-12-26,11878.388888888889,213811.0
2018-12-27,9438.764705882353,160459.0
2018-12-28,10634.6875,170155.0
2018-12-29,12557.759999999998,288828.48
2018-12-30,11640.6,116406.0
2018-12-31,16282.833333333334,97697.0
2019-01-01,4760.0,52360.0
2019-01-02,13535.75,216572.0
2019-01-03,13712.25,164547.0
2019-01-04,12645.0,493155.0
2019-01-05,10546.833333333334,189843.0
2019-01-06,9627.204,48136.02
2019-01-07,11448.0,171720.0
2019-01-08,11411.007692307692,296686.2
2019-01-09,11130.439666666667,333913.19
2019-01-10,10779.277714285714,377274.72
2019-01-11,8163.862068965517,236752.0
2019-01-12,11144.214736842107,211740.08000000002
2019-01-13,4914.505,29487.03
2019-01-14,11127.795652173912,255939.3
2019-01-15,11654.181818181818,384588.0
2019-01-16,12028.0625,192449.0
2019-01-17,14089.06543478261,648097.01
2019-01-18,12769.241612903226,395846.49
2019-01-19,13992.818181818182,769605.0
2019-01-20,4756.981818181818,52326.8
2019-01-21,9899.888888888889,267297.0
2019-01-22,8812.42857142857,370122.0
2019-01-23,12196.423076923076,634214.0
2019-01-24,11236.16425,449446.57
2019-01-25,13449.5,645576.0
2019-01-26,11159.793076923077,145077.31
2019-01-27,4502.533333333334,67538.0
2019-01-28,13581.386428571428,570418.23
2019-01-29,10810.166666666666,194583.0
2019-01-30,10806.489361702128,507905.0
2019-01-31,8226.63259259259,444238.1599999999
2019-02-01,9939.216935714285,556596.1484
2019-02-02,9228.607941176471,627545.3400000001
2019-02-03,7234.190476190476,151918.0
2019-02-04,10958.055714285714,460238.33999999997
2019-02-05,9548.306734693879,467867.03
2019-02-06,10446.0909375,668549.82
2019-02-07,11666.313809523808,489985.17999999993
2019-02-08,6538.633410714286,366163.471
2019-02-09,7466.357142857143,104529.0
2019-02-10,10361.226666666666,155418.4
2019-02-11,10404.689285714287,728328.25
2019-02-12,10195.021363636364,448580.94
2019-02-13,11171.21921860465,480362.4264
2019-02-14,13550.318181818182,596214.0
2019-02-15,8646.372222222222,544721.45
2019-02-16,13327.541860465117,573084.3
2019-02-17,14336.048703703704,774146.63
2019-02-18,10692.690909090908,588098.0
2019-02-19,13915.139696969696,918399.22
2019-02-20,12134.432162162164,897947.9800000001
2019-02-21,9831.442156862746,501403.55000000005
